,AAPL,BAC,BP,C,COF,COST,F,GM,HMC,JPM,LMT,META,MSFT,OXY,RACE,TGT,TSLA,TTM,TWTR,XOM,,,mean log return,log return volatility
AAPL,0.000375543,0.000190561,9.78E-05,0.000200691,0.000257016,0.000213181,0.000297353,0.000318931,0.000168282,0.000171743,9.64E-05,0.000369881,0.000267846,6.99E-05,0.000226612,0.000227921,0.000401483,0.000199167,9.75E-05,9.86E-05,,AAPL,-6.16E-05,0.019378927
BAC,0.000190561,0.000353773,0.000190874,0.000385399,0.000359192,0.000136288,0.000359356,0.000325005,0.000190572,0.0002962,6.91E-05,0.000352625,0.000184392,0.000158993,0.000177439,0.000245838,0.000226104,0.000195784,0.00015052,0.000161224,,BAC,-0.000594942,0.018808842
BP,9.78E-05,0.000190874,0.000474707,0.000227141,0.000226506,6.87E-05,0.000221503,0.000233876,0.000148151,0.000156411,8.39E-05,0.000202408,0.00011686,0.000415262,0.000120154,8.51E-05,0.000169156,0.000133842,5.26E-05,0.000386791,,BP,0.000337448,0.021787761
C,0.000200691,0.000385399,0.000227141,0.000511536,0.000388346,0.000160274,0.000416446,0.000372808,0.000215349,0.000316782,6.82E-05,0.000431787,0.000209659,0.000199868,0.000215237,0.000245914,0.000228747,0.000228174,0.000186324,0.000188765,,C,-0.001710856,0.022617151
COF,0.000257016,0.000359192,0.000226506,0.000388346,0.000563147,0.000198149,0.000468159,0.000408546,0.000246887,0.000300047,6.82E-05,0.00056397,0.000260526,0.000270547,0.00025565,0.000371531,0.000332115,0.000256868,0.000155017,0.000220546,,COF,-0.002252086,0.023730723
COST,0.000213181,0.000136288,6.87E-05,0.000160274,0.000198149,0.000280254,0.000281292,0.000252939,0.000117384,0.000120686,7.97E-05,0.000246478,0.0002231,7.89E-05,0.000188821,0.000220486,0.000303797,0.000167861,6.29E-05,7.77E-05,,COST,-0.000419671,0.016740795
F,0.000297353,0.000359356,0.000221503,0.000416446,0.000468159,0.000281292,0.000994379,0.00070494,0.000347947,0.000320673,0.000116502,0.000487971,0.000300428,0.000243019,0.000386588,0.000476325,0.000533986,0.000397369,0.000239895,0.000240986,,F,-1.16E-05,0.031533775
GM,0.000318931,0.000325005,0.000233876,0.000372808,0.000408546,0.000252939,0.00070494,0.00070359,0.00031636,0.000291455,8.79E-05,0.000484081,0.000268383,0.00028473,0.000313867,0.000359167,0.0005052,0.00029664,0.000302236,0.000226199,,GM,-1.32E-05,0.026525271
HMC,0.000168282,0.000190572,0.000148151,0.000215349,0.000246887,0.000117384,0.000347947,0.00031636,0.000305695,0.000160401,6.95E-05,0.000257433,0.000145835,0.000188136,0.000184851,0.000175798,0.000242354,0.000244597,0.000129847,0.000162803,,HMC,-0.001818024,0.017484126
JPM,0.000171743,0.0002962,0.000156411,0.000316782,0.000300047,0.000120686,0.000320673,0.000291455,0.000160401,0.000277823,6.70E-05,0.000324933,0.000170089,0.00011341,0.000160133,0.000229705,0.000202375,0.000162969,0.000160904,0.000138506,,JPM,-0.001248304,0.016668035
LMT,9.64E-05,6.91E-05,8.39E-05,6.82E-05,6.82E-05,7.97E-05,0.000116502,8.79E-05,6.95E-05,6.70E-05,0.000164604,7.64E-05,9.86E-05,9.27E-05,6.14E-05,6.57E-05,0.000114818,9.25E-05,2.18E-06,7.68E-05,,LMT,-0.00172605,0.012829828
META,0.000369881,0.000352625,0.000202408,0.000431787,0.00056397,0.000246478,0.000487971,0.000484081,0.000257433,0.000324933,7.64E-05,0.001021116,0.000397185,0.000103278,0.000303244,0.000418041,0.000498101,0.000324805,0.000267381,0.000117316,,META,-0.002620034,0.031954912
MSFT,0.000267846,0.000184392,0.00011686,0.000209659,0.000260526,0.0002231,0.000300428,0.000268383,0.000145835,0.000170089,9.86E-05,0.000397185,0.000342458,0.000118167,0.000227265,0.000258491,0.000334925,0.000166792,0.000102154,0.000115282,,MSFT,-0.001687864,0.018505622
